DATE,SPY
2007-12-11,148.0
2007-12-12,149.31
2007-12-13,149.15
2007-12-14,147.135
2007-12-17,145.01
2007-12-18,145.91
2007-12-19,145.825
2007-12-20,146.81
2007-12-21,148.26
2007-12-24,149.27
2007-12-26,149.59
2007-12-27,147.755
2007-12-28,147.20499999999998
2007-12-31,146.32
2008-01-02,144.89999999999998
2008-01-03,144.81
2008-01-04,141.12
2008-01-07,141.19
2008-01-08,138.89
2008-01-09,140.375
2008-01-10,141.09
2008-01-11,140.11
2008-01-14,141.375
2008-01-15,137.165
2008-01-16,137.02499999999998
2008-01-17,133.44
2008-01-18,132.115
2008-01-22,130.675
2008-01-23,133.96499999999997
2008-01-24,135.54000000000002
2008-01-25,133.13
2008-01-28,135.265
2008-01-29,135.93
2008-01-30,134.865
2008-01-31,137.175
2008-02-01,139.51999999999998
2008-02-04,137.70999999999998
2008-02-05,134.085
2008-02-06,133.09500000000003
2008-02-07,134.06
2008-02-08,133.01
2008-02-11,133.79500000000002
2008-02-12,134.98000000000002
2008-02-13,136.42000000000002
2008-02-14,135.125
2008-02-15,135.12
2008-02-19,135.66
2008-02-20,135.97500000000002
2008-02-21,134.785
2008-02-22,135.73000000000002
2008-02-25,137.31
2008-02-26,138.41
2008-02-27,138.195
2008-02-28,136.8
2008-02-29,133.675
2008-03-03,133.495
2008-03-04,132.975
2008-03-05,133.86
2008-03-06,131.065
2008-03-07,129.66500000000002
2008-03-10,127.935
2008-03-11,132.63
2008-03-12,131.3
2008-03-13,131.68
2008-03-14,129.575
2008-03-17,128.565
2008-03-18,133.66
2008-03-19,130.345
2008-03-20,132.185
2008-03-24,134.76
2008-03-25,134.72
2008-03-26,133.185
2008-03-27,132.70499999999998
2008-03-28,131.485
2008-03-31,131.905
2008-04-01,136.66500000000002
2008-04-02,136.81
2008-04-03,137.01999999999998
2008-04-04,136.81
2008-04-07,136.88
2008-04-08,136.79500000000002
2008-04-09,135.755
2008-04-10,136.04500000000002
2008-04-11,133.35000000000002
2008-04-14,132.925
2008-04-15,133.89
2008-04-16,136.865
2008-04-17,137.005
2008-04-18,138.56
2008-04-21,138.59
2008-04-22,137.93
2008-04-23,137.745
2008-04-24,138.51
2008-04-25,139.575
2008-04-28,139.59500000000003
2008-04-29,139.0
2008-04-30,138.35500000000002
2008-05-01,141.14499999999998
2008-05-02,141.565
2008-05-05,140.865
2008-05-06,142.14
2008-05-07,139.54000000000002
2008-05-08,139.235
2008-05-09,138.965
2008-05-12,140.475
2008-05-13,140.485
2008-05-14,140.86
2008-05-15,142.59
2008-05-16,142.655
2008-05-19,143.095
2008-05-20,141.765
2008-05-21,139.39999999999998
2008-05-22,139.55
2008-05-23,137.58499999999998
2008-05-27,138.715
2008-05-28,139.325
2008-05-29,140.03
2008-05-30,140.31
2008-06-02,138.875
2008-06-03,138.185
2008-06-04,138.035
2008-06-05,140.825
2008-06-06,136.29500000000002
2008-06-09,136.70999999999998
2008-06-10,135.99
2008-06-11,133.97500000000002
2008-06-12,134.47
2008-06-13,136.125
2008-06-16,136.255
2008-06-17,135.51999999999998
2008-06-18,134.155
2008-06-19,134.465
2008-06-20,131.60500000000002
2008-06-23,131.425
2008-06-24,131.24
2008-06-25,131.89
2008-06-26,128.195
2008-06-27,127.61500000000001
2008-06-30,128.015
2008-07-01,128.42000000000002
2008-07-02,126.155
2008-07-03,126.385
2008-07-07,125.045
2008-07-08,127.19
2008-07-09,124.665
2008-07-10,125.345
2008-07-11,123.71000000000001
2008-07-14,122.72999999999999
2008-07-15,121.11500000000001
2008-07-16,123.93
2008-07-17,124.745
2008-07-18,126.02000000000001
2008-07-21,125.89
2008-07-22,127.48
2008-07-23,128.18
2008-07-24,125.46000000000001
2008-07-25,125.47
2008-07-28,123.61500000000001
2008-07-29,126.27000000000001
2008-07-30,128.64
2008-07-31,126.82
2008-08-01,126.16
2008-08-04,124.995
2008-08-05,128.45
2008-08-06,128.935
2008-08-07,126.96000000000001
2008-08-08,129.44
2008-08-11,130.635
2008-08-12,129.345
2008-08-13,128.64
2008-08-14,129.555
2008-08-15,130.20499999999998
2008-08-18,128.415
2008-08-19,127.025
2008-08-20,127.63
2008-08-21,127.84
2008-08-22,129.60500000000002
2008-08-25,126.95
2008-08-26,127.42500000000001
2008-08-27,128.54000000000002
2008-08-28,130.10500000000002
2008-08-29,128.76
2008-09-02,128.01
2008-09-03,127.875
2008-09-04,124.035
2008-09-05,124.52000000000001
2008-09-08,127.1
2008-09-09,123.15
2008-09-10,123.74000000000001
2008-09-11,125.57499999999999
2008-09-12,126.09
2008-09-15,120.015
2008-09-16,122.35
2008-09-17,116.68
2008-09-18,119.94999999999999
2008-09-19,124.375
2008-09-22,121.205
2008-09-23,118.595
2008-09-24,118.89
2008-09-25,120.64
2008-09-26,120.905
2008-09-29,111.24000000000001
2008-09-30,115.995
2008-10-01,116.225
2008-10-02,111.83
2008-10-03,110.22
2008-10-06,104.89500000000001
2008-10-07,100.27000000000001
2008-10-08,97.37
2008-10-09,90.795
2008-10-10,89.085
2008-10-13,101.06
2008-10-14,99.86
2008-10-15,90.195
2008-10-16,93.805
2008-10-17,93.225
2008-10-20,98.95
2008-10-21,95.965
2008-10-22,90.53
2008-10-23,91.635
2008-10-24,86.94
2008-10-27,83.94999999999999
2008-10-28,93.85
2008-10-29,92.945
2008-10-30,96.10499999999999
2008-10-31,96.91
2008-11-03,97.075
2008-11-04,100.425
2008-11-05,96.025
2008-11-06,90.835
2008-11-07,93.905
2008-11-10,92.515
2008-11-11,89.71000000000001
2008-11-12,85.715
2008-11-13,91.115
2008-11-14,86.565
2008-11-17,85.56
2008-11-18,86.925
2008-11-19,81.47
2008-11-20,75.475
2008-11-21,79.75999999999999
2008-11-24,85.10499999999999
2008-11-25,85.835
2008-11-26,89.055
2008-11-28,90.17500000000001
2008-12-01,82.10499999999999
2008-12-02,85.34
2008-12-03,87.28
2008-12-04,85.195
2008-12-05,87.855
2008-12-08,91.00999999999999
2008-12-09,89.42500000000001
2008-12-10,90.105
2008-12-11,87.72999999999999
2008-12-12,89.00999999999999
2008-12-15,87.83
2008-12-16,91.88
2008-12-17,90.935
2008-12-18,89.92500000000001
2008-12-19,88.195
2008-12-22,87.315
2008-12-23,86.065
2008-12-24,86.53
2008-12-26,87.085
2008-12-29,87.24000000000001
2008-12-30,89.025
2008-12-31,89.505
2009-01-02,92.83500000000001
2009-01-05,92.93
2009-01-06,93.345
2009-01-07,90.775
2009-01-08,90.99000000000001
2009-01-09,88.87
2009-01-12,87.14
2009-01-13,87.245
2009-01-14,84.31
2009-01-15,84.345
2009-01-16,85.19
2009-01-20,81.095
2009-01-21,84.035
2009-01-22,82.905
2009-01-23,82.78999999999999
2009-01-26,83.665
2009-01-27,84.315
2009-01-28,87.57499999999999
2009-01-29,84.745
2009-01-30,82.94999999999999
2009-02-02,82.57
2009-02-03,83.595
2009-02-04,83.385
2009-02-05,84.435
2009-02-06,87.225
2009-02-09,86.965
2009-02-10,83.02000000000001
2009-02-11,83.52000000000001
2009-02-12,83.94999999999999
2009-02-13,82.515
2009-02-17,79.105
2009-02-18,78.39500000000001
2009-02-19,78.375
2009-02-20,77.445
2009-02-23,74.97
2009-02-24,77.42500000000001
2009-02-25,76.65
2009-02-26,75.71000000000001
2009-02-27,73.695
2009-03-02,70.935
2009-03-03,69.32
2009-03-04,71.42500000000001
2009-03-05,69.155
2009-03-06,69.33
2009-03-09,67.875
2009-03-10,72.19
2009-03-11,72.58500000000001
2009-03-12,75.565
2009-03-13,76.33500000000001
2009-03-16,76.22999999999999
2009-03-17,78.41499999999999
2009-03-18,79.91
2009-03-19,78.91
2009-03-20,76.845
2009-03-23,82.06
2009-03-24,80.65
2009-03-25,81.155
2009-03-26,83.065
2009-03-27,82.045
2009-03-30,78.92500000000001
2009-03-31,79.47999999999999
2009-04-01,81.25
2009-04-02,84.07499999999999
2009-04-03,84.485
2009-04-06,83.615
2009-04-07,81.93
2009-04-08,82.66
2009-04-09,85.745
2009-04-13,85.975
2009-04-14,84.10499999999999
2009-04-15,85.305
2009-04-16,86.545
2009-04-17,87.10499999999999
